timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1574954875865,556,www.walmart.com,200,OK,Thread Group 1-1,text,true,,195653,120,1,1,https://www.walmart.com/,434,0,141
1574954876422,937,www.walgreens.com,200,OK,Thread Group 1-1,text,true,,1418326,122,1,1,https://www.walgreens.com/,303,0,146
1574954877365,423,www.homedepot.com,200,OK,Thread Group 1-1,text,true,,214435,122,1,1,https://www.homedepot.com/,270,0,125
1574954877790,567,www.wholefoods.com,200,OK,Thread Group 1-1,text,true,,128820,252,1,1,https://www.wholefoodsmarket.com/,218,0,174
1574954877790,218,www.wholefoods.com-0,301,Found,Thread Group 1-1,,true,,307,123,1,1,https://www.wholefoods.com/,218,0,174
1574954878009,348,www.wholefoods.com-1,200,OK,Thread Group 1-1,text,true,,128513,129,1,1,https://www.wholefoodsmarket.com/,236,0,196
1574954878359,270,www.apple.com,200,OK,Thread Group 1-1,text,true,,85403,118,1,1,https://www.apple.com/,197,0,161
1574954878631,527,www.samsung.com,200,OK,Thread Group 1-1,text,true,,220036,243,1,1,https://www.samsung.com/us/,223,0,188
1574954878631,223,www.samsung.com-0,301,Moved Permanently,Thread Group 1-1,,true,,414,120,1,1,https://www.samsung.com/,223,0,188
1574954878854,304,www.samsung.com-1,200,OK,Thread Group 1-1,text,true,,219622,123,1,1,https://www.samsung.com/us/,49,0,0
1574954879160,727,www.vizio.com,200,OK,Thread Group 1-1,text,true,,112214,243,1,1,https://www.vizio.com/en/home,238,0,157
1574954879160,238,www.vizio.com-0,301,Moved Permanently,Thread Group 1-1,text,true,,464,118,1,1,https://www.vizio.com/,238,0,157
1574954879399,488,www.vizio.com-1,200,OK,Thread Group 1-1,text,true,,111750,125,1,1,https://www.vizio.com/en/home,447,0,0
1574954879889,1112,store.google.com,200,OK,Thread Group 1-1,text,true,,2028077,121,1,1,https://store.google.com/,333,0,219
1574954881002,411,www.sprint.com,200,OK,Thread Group 1-1,text,true,,244569,119,1,1,https://www.sprint.com/,249,0,164
1574954881414,305,www.verizon.com,200,OK,Thread Group 1-1,text,true,,52785,279,1,1,https://www.verizon.com/home/verizonglobalhome/ghp_landing.aspx,231,0,140
1574954881414,231,www.verizon.com-0,302,Found,Thread Group 1-1,,true,,177,120,1,1,https://www.verizon.com/,231,0,140
1574954881645,74,www.verizon.com-1,200,OK,Thread Group 1-1,text,true,,52608,159,1,1,https://www.verizon.com/home/verizonglobalhome/ghp_landing.aspx,45,0,0
1574954881720,1545,www.samsclub.com,200,OK,Thread Group 1-1,text,true,,312675,121,1,1,https://www.samsclub.com/,1262,0,1221
1574954883266,425,www.sears.com,200,OK,Thread Group 1-1,text,true,,116946,118,1,1,https://www.sears.com/,348,0,163
1574954883692,258,www.kmart.com,200,OK,Thread Group 1-1,text,true,,83703,118,1,1,https://www.kmart.com/,200,0,164
1574954883951,698,www.staples.com,200,OK,Thread Group 1-1,text,true,,560886,120,1,1,https://www.staples.com/,414,0,137
1574954884651,373,www.dell.com,200,OK,Thread Group 1-1,text,true,,197074,239,1,1,https://www.dell.com/en-us,190,0,146
1574954884651,190,www.dell.com-0,302,Moved Temporarily,Thread Group 1-1,text,true,,1469,117,1,1,https://www.dell.com/,190,0,146
1574954884841,183,www.dell.com-1,200,OK,Thread Group 1-1,text,true,,195605,122,1,1,https://www.dell.com/en-us,71,0,0
1574954885026,378,www.target.com,200,OK,Thread Group 1-1,text,true,,282202,119,1,1,https://www.target.com/,221,0,170
1574954885405,1960,www.bjs.com,200,OK,Thread Group 1-1,text,true,,6433756,116,1,1,https://www.bjs.com/,226,0,177
1574954887367,601,www.lenovo.com,200,OK,Thread Group 1-1,text,true,,230206,244,1,1,https://www.lenovo.com/us/en/,263,0,222
1574954887367,263,www.lenovo.com-0,301,Moved Permanently,Thread Group 1-1,,true,,1104,119,1,1,https://www.lenovo.com/,263,0,222
1574954887630,338,www.lenovo.com-1,200,OK,Thread Group 1-1,text,true,,229102,125,1,1,https://www.lenovo.com/us/en/,99,0,0
1574954887971,478,www.harborfreight.com,200,OK,Thread Group 1-1,text,true,,495216,126,1,1,https://www.harborfreight.com/,200,0,161
1574954888451,380,www.dickssportinggoods.com,200,OK,Thread Group 1-1,text,true,,175303,131,1,1,https://www.dickssportinggoods.com/,258,0,182
1574956762191,1655,www.amazon.com,200,OK,Thread Group 1-1,text,true,,94542,119,1,1,https://www.amazon.com/,1428,0,1327
1574956763848,698,www.kohls.com,200,OK,Thread Group 1-1,text,true,,396142,118,1,1,https://www.kohls.com/,270,0,162
1574956764547,575,www.walmart.com,200,OK,Thread Group 1-1,text,true,,195243,120,1,1,https://www.walmart.com/,456,0,202
1574956765127,1225,www.walgreens.com,200,OK,Thread Group 1-1,text,true,,1418369,122,1,1,https://www.walgreens.com/,486,0,182
1574956766353,465,www.homedepot.com,200,OK,Thread Group 1-1,text,true,,214452,122,1,1,https://www.homedepot.com/,368,0,231
1574956766820,624,www.wholefoods.com,200,OK,Thread Group 1-1,text,true,,128819,252,1,1,https://www.wholefoodsmarket.com/,281,0,233
1574956766820,281,www.wholefoods.com-0,301,Found,Thread Group 1-1,,true,,307,123,1,1,https://www.wholefoods.com/,281,0,233
1574956767102,342,www.wholefoods.com-1,200,OK,Thread Group 1-1,text,true,,128512,129,1,1,https://www.wholefoodsmarket.com/,246,0,200
1574956767446,338,www.apple.com,200,OK,Thread Group 1-1,text,true,,85403,118,1,1,https://www.apple.com/,280,0,202
1574956767785,577,www.samsung.com,200,OK,Thread Group 1-1,text,true,,220036,243,1,1,https://www.samsung.com/us/,316,0,247
1574956767785,316,www.samsung.com-0,301,Moved Permanently,Thread Group 1-1,,true,,414,120,1,1,https://www.samsung.com/,316,0,247
1574956768101,261,www.samsung.com-1,200,OK,Thread Group 1-1,text,true,,219622,123,1,1,https://www.samsung.com/us/,85,0,0
1574956768364,813,www.vizio.com,200,OK,Thread Group 1-1,text,true,,112214,243,1,1,https://www.vizio.com/en/home,362,0,294
1574956768364,362,www.vizio.com-0,301,Moved Permanently,Thread Group 1-1,text,true,,464,118,1,1,https://www.vizio.com/,362,0,294
1574956768726,451,www.vizio.com-1,200,OK,Thread Group 1-1,text,true,,111750,125,1,1,https://www.vizio.com/en/home,403,0,0
1574956769179,1002,store.google.com,200,OK,Thread Group 1-1,text,true,,2028062,121,1,1,https://store.google.com/,421,0,279
1574956770183,499,www.sprint.com,200,OK,Thread Group 1-1,text,true,,246615,119,1,1,https://www.sprint.com/,344,0,133
1574956770684,304,www.verizon.com,200,OK,Thread Group 1-1,text,true,,52785,279,1,1,https://www.verizon.com/home/verizonglobalhome/ghp_landing.aspx,232,0,144
1574956770684,232,www.verizon.com-0,302,Found,Thread Group 1-1,,true,,177,120,1,1,https://www.verizon.com/,232,0,144
1574956770916,72,www.verizon.com-1,200,OK,Thread Group 1-1,text,true,,52608,159,1,1,https://www.verizon.com/home/verizonglobalhome/ghp_landing.aspx,38,0,0
1574956770990,377,www.samsclub.com,200,OK,Thread Group 1-1,text,true,,312689,121,1,1,https://www.samsclub.com/,192,0,147
1574956771369,324,www.sears.com,200,OK,Thread Group 1-1,text,true,,116933,118,1,1,https://www.sears.com/,244,0,192
1574956771697,344,www.kmart.com,200,OK,Thread Group 1-1,text,true,,83451,118,1,1,https://www.kmart.com/,253,0,202
1574956772044,972,www.staples.com,200,OK,Thread Group 1-1,text,true,,561014,120,1,1,https://www.staples.com/,634,0,157
1574956773018,368,www.dell.com,200,OK,Thread Group 1-1,text,true,,197074,239,1,1,https://www.dell.com/en-us,197,0,151
1574956773018,197,www.dell.com-0,302,Moved Temporarily,Thread Group 1-1,text,true,,1469,117,1,1,https://www.dell.com/,197,0,151
1574956773215,171,www.dell.com-1,200,OK,Thread Group 1-1,text,true,,195605,122,1,1,https://www.dell.com/en-us,68,0,0
1574956773388,363,www.target.com,200,OK,Thread Group 1-1,text,true,,282158,119,1,1,https://www.target.com/,207,0,153
1574956773753,1981,www.bjs.com,200,OK,Thread Group 1-1,text,true,,6433857,116,1,1,https://www.bjs.com/,179,0,137
1574956775743,1089,www.lenovo.com,200,OK,Thread Group 1-1,text,true,,230239,244,1,1,https://www.lenovo.com/us/en/,753,0,518
1574956775743,753,www.lenovo.com-0,301,Moved Permanently,Thread Group 1-1,,true,,1104,119,1,1,https://www.lenovo.com/,753,0,518
1574956776496,336,www.lenovo.com-1,200,OK,Thread Group 1-1,text,true,,229135,125,1,1,https://www.lenovo.com/us/en/,120,0,0
