elapsed,label
548,www.lenovo.com
259,www.lenovo.com-0
289,www.lenovo.com-1
1930,www.harborfreight.com
367,www.dickssportinggoods.com
491,www.amazon.com
755,www.kohls.com
569,www.walmart.com
1291,www.walgreens.com
483,www.homedepot.com
541,www.wholefoods.com
270,www.wholefoods.com-0
270,www.wholefoods.com-1
464,www.apple.com
606,www.samsung.com
217,www.samsung.com-0
389,www.samsung.com-1
628,www.vizio.com
227,www.vizio.com-0
401,www.vizio.com-1
834,store.google.com
819,www.sprint.com
359,www.verizon.com
282,www.verizon.com-0
77,www.verizon.com-1
421,www.samsclub.com
377,www.sears.com
257,www.kmart.com
1028,www.staples.com
389,www.dell.com
214,www.dell.com-0
168,www.dell.com-1
414,www.target.com
1303,www.bjs.com
612,www.lenovo.com
411,www.lenovo.com-0
201,www.lenovo.com-1
383,www.harborfreight.com
713,www.dickssportinggoods.com
444,www.amazon.com
604,www.kohls.com
521,www.walmart.com
1018,www.walgreens.com
395,www.homedepot.com
526,www.wholefoods.com
216,www.wholefoods.com-0
309,www.wholefoods.com-1
504,www.apple.com
391,www.samsung.com
220,www.samsung.com-0
171,www.samsung.com-1
696,www.vizio.com
274,www.vizio.com-0
422,www.vizio.com-1
835,store.google.com
391,www.sprint.com
288,www.verizon.com
228,www.verizon.com-0
60,www.verizon.com-1
316,www.samsclub.com
304,www.sears.com
258,www.kmart.com
687,www.staples.com
323,www.dell.com
166,www.dell.com-0
157,www.dell.com-1
418,www.target.com
1283,www.bjs.com
431,www.lenovo.com
223,www.lenovo.com-0
208,www.lenovo.com-1
405,www.harborfreight.com
328,www.dickssportinggoods.com
405,www.amazon.com
590,www.kohls.com
466,www.walmart.com
684,www.walgreens.com
374,www.homedepot.com
486,www.wholefoods.com
240,www.wholefoods.com-0
239,www.wholefoods.com-1
407,www.apple.com
358,www.samsung.com
167,www.samsung.com-0
191,www.samsung.com-1
674,www.vizio.com
198,www.vizio.com-0
476,www.vizio.com-1
721,store.google.com
311,www.sprint.com
255,www.verizon.com
199,www.verizon.com-0
56,www.verizon.com-1
349,www.samsclub.com
269,www.sears.com
314,www.kmart.com
751,www.staples.com
369,www.dell.com
184,www.dell.com-0
185,www.dell.com-1
359,www.target.com
2112,www.bjs.com
414,www.lenovo.com
165,www.lenovo.com-0
249,www.lenovo.com-1
441,www.harborfreight.com
1296,www.dickssportinggoods.com
496,www.amazon.com
455,www.kohls.com
459,www.walmart.com
1136,www.walgreens.com
447,www.homedepot.com
515,www.wholefoods.com
240,www.wholefoods.com-0
274,www.wholefoods.com-1
419,www.apple.com
558,www.samsung.com
171,www.samsung.com-0
387,www.samsung.com-1
846,www.vizio.com
380,www.vizio.com-0
466,www.vizio.com-1
818,store.google.com
346,www.sprint.com
262,www.verizon.com
207,www.verizon.com-0
55,www.verizon.com-1
366,www.samsclub.com
349,www.sears.com
292,www.kmart.com
521,www.staples.com
322,www.dell.com
170,www.dell.com-0
152,www.dell.com-1
393,www.target.com
1306,www.bjs.com
320,www.lenovo.com
164,www.lenovo.com-0
156,www.lenovo.com-1
394,www.harborfreight.com
291,www.dickssportinggoods.com
369,www.amazon.com
572,www.kohls.com
455,www.walmart.com
804,www.walgreens.com
470,www.homedepot.com
504,www.wholefoods.com
187,www.wholefoods.com-0
